symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
ADAUSDT,2025-05-10 04:00:00+00:00,0.7807,0.7809,0.7749,0.7805,3392178.8,2025-05-10 04:59:59.999000+00:00,2639242.28797,11010,2017144.4,1569627.55235
ADAUSDT,2025-05-10 05:00:00+00:00,0.7805,0.7858,0.7755,0.7851,2937656.6,2025-05-10 05:59:59.999000+00:00,2289137.00442,10824,1737552.2,1354544.67642
ADAUSDT,2025-05-10 06:00:00+00:00,0.7852,0.7954,0.7845,0.7952,7282446.2,2025-05-10 06:59:59.999000+00:00,5749144.1495,23792,4451421.6,3516591.09686
ADAUSDT,2025-05-10 07:00:00+00:00,0.7952,0.8021,0.7904,0.8005,14259794.2,2025-05-10 07:59:59.999000+00:00,11349161.03899,36133,7719093.7,6144287.76498
ADAUSDT,2025-05-10 08:00:00+00:00,0.8006,0.8076,0.7904,0.7943,10020934.3,2025-05-10 08:59:59.999000+00:00,8022558.30895,34310,5117532.1,4100235.31222
ADAUSDT,2025-05-10 09:00:00+00:00,0.7944,0.8038,0.7875,0.8017,4763019.9,2025-05-10 09:59:59.999000+00:00,3789295.3882,21678,2229397.6,1775836.58058
ADAUSDT,2025-05-10 10:00:00+00:00,0.8018,0.813,0.794,0.7941,9159743.6,2025-05-10 10:59:59.999000+00:00,7371929.18874,36187,4150329.4,3342314.11985
ADAUSDT,2025-05-10 11:00:00+00:00,0.7942,0.8024,0.7876,0.7889,6551447.9,2025-05-10 11:59:59.999000+00:00,5201107.11666,20900,2704691.9,2150335.58499
ADAUSDT,2025-05-10 12:00:00+00:00,0.7888,0.8017,0.7888,0.801,4662506.8,2025-05-10 12:59:59.999000+00:00,3715259.3017,15322,2294336.1,1828922.0523
ADAUSDT,2025-05-10 13:00:00+00:00,0.801,0.8128,0.8009,0.8097,9629725.5,2025-05-10 13:59:59.999000+00:00,7775011.07428,28007,4334066.0,3499230.92559
ADAUSDT,2025-05-10 14:00:00+00:00,0.8097,0.814,0.8047,0.8089,5978269.0,2025-05-10 14:59:59.999000+00:00,4836593.42527,22544,2646094.9,2141053.50057
ADAUSDT,2025-05-10 15:00:00+00:00,0.8089,0.8104,0.7971,0.8014,6704742.6,2025-05-10 15:59:59.999000+00:00,5384575.27699,21835,2684140.8,2154742.17215
ADAUSDT,2025-05-10 16:00:00+00:00,0.8015,0.815,0.8013,0.8141,7098124.5,2025-05-10 16:59:59.999000+00:00,5746964.82974,25848,3707776.0,3001237.26053
ADAUSDT,2025-05-10 17:00:00+00:00,0.8141,0.8399,0.8132,0.8194,25659484.0,2025-05-10 17:59:59.999000+00:00,21259915.03823,75142,13018090.8,10793086.41638
ADAUSDT,2025-05-10 18:00:00+00:00,0.8194,0.8253,0.8106,0.8155,6793123.8,2025-05-10 18:59:59.999000+00:00,5556211.75049,24675,3171334.1,2592770.61925
ADAUSDT,2025-05-10 19:00:00+00:00,0.8155,0.8178,0.8083,0.8126,5070864.1,2025-05-10 19:59:59.999000+00:00,4121110.59455,16898,2430126.8,1976119.11369
ADAUSDT,2025-05-10 20:00:00+00:00,0.8126,0.8177,0.805,0.8167,6589366.7,2025-05-10 20:59:59.999000+00:00,5341761.22166,18329,3045526.3,2470785.30731
ADAUSDT,2025-05-10 21:00:00+00:00,0.8168,0.8254,0.8127,0.8229,5134968.2,2025-05-10 21:59:59.999000+00:00,4210467.04742,17274,2277260.8,1867655.55418
ADAUSDT,2025-05-10 22:00:00+00:00,0.8228,0.8296,0.8183,0.8292,5032182.6,2025-05-10 22:59:59.999000+00:00,4147685.55043,18453,2234320.3,1841907.50335
ADAUSDT,2025-05-10 23:00:00+00:00,0.8291,0.8435,0.8278,0.8406,12949746.6,2025-05-10 23:59:59.999000+00:00,10857212.5245,40948,6674823.0,5596522.74203
ADAUSDT,2025-05-11 00:00:00+00:00,0.8406,0.8466,0.8112,0.8225,16091239.3,2025-05-11 00:59:59.999000+00:00,13334073.02732,53682,6587798.9,5464347.11417
ADAUSDT,2025-05-11 01:00:00+00:00,0.8225,0.826,0.8095,0.8154,5938309.6,2025-05-11 01:59:59.999000+00:00,4858070.60855,23453,2758400.1,2257096.71105
ADAUSDT,2025-05-11 02:00:00+00:00,0.8154,0.8217,0.8065,0.8121,5920354.7,2025-05-11 02:59:59.999000+00:00,4826138.08285,18104,2781979.2,2268266.11284
ADAUSDT,2025-05-11 03:00:00+00:00,0.8121,0.8227,0.8077,0.8163,4621479.0,2025-05-11 03:59:59.999000+00:00,3775492.75965,15940,2116576.4,1729764.61151
