symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
BCHUSDT,2025-05-10 04:00:00+00:00,415.7,416.0,413.3,415.7,975.689,2025-05-10 04:59:59.999000+00:00,404817.2383,4336,573.972,238217.6259
BCHUSDT,2025-05-10 05:00:00+00:00,415.7,417.5,413.9,416.3,2222.107,2025-05-10 05:59:59.999000+00:00,924067.7397,4975,1323.186,550386.4324
BCHUSDT,2025-05-10 06:00:00+00:00,416.3,418.0,415.3,417.1,2383.884,2025-05-10 06:59:59.999000+00:00,993945.8525,5298,1044.665,435491.2101
BCHUSDT,2025-05-10 07:00:00+00:00,417.1,424.8,416.6,420.1,5987.294,2025-05-10 07:59:59.999000+00:00,2522924.2929,13427,3666.528,1544780.6171
BCHUSDT,2025-05-10 08:00:00+00:00,420.0,423.0,417.5,420.3,2874.345,2025-05-10 08:59:59.999000+00:00,1209311.1237,9140,1277.403,537751.2632
BCHUSDT,2025-05-10 09:00:00+00:00,420.4,425.0,417.8,422.8,2769.149,2025-05-10 09:59:59.999000+00:00,1166892.0983,9554,1486.58,626981.9833
BCHUSDT,2025-05-10 10:00:00+00:00,422.8,424.3,418.1,418.3,2290.426,2025-05-10 10:59:59.999000+00:00,964813.5203,8675,936.27,394417.8238
BCHUSDT,2025-05-10 11:00:00+00:00,418.3,419.6,413.9,414.6,3344.91,2025-05-10 11:59:59.999000+00:00,1392963.9319,12402,1368.045,569752.2208
BCHUSDT,2025-05-10 12:00:00+00:00,414.5,418.6,414.5,417.7,1956.135,2025-05-10 12:59:59.999000+00:00,815768.943,6086,1177.257,491107.4447
BCHUSDT,2025-05-10 13:00:00+00:00,417.8,420.5,416.4,419.4,1192.13,2025-05-10 13:59:59.999000+00:00,499010.0619,4363,722.444,302431.9641
BCHUSDT,2025-05-10 14:00:00+00:00,419.4,422.2,418.9,421.2,2837.283,2025-05-10 14:59:59.999000+00:00,1193410.5224,7477,1317.4,554288.7682
BCHUSDT,2025-05-10 15:00:00+00:00,421.2,421.2,417.3,419.5,3118.874,2025-05-10 15:59:59.999000+00:00,1307853.5341,7658,888.384,372723.1317
BCHUSDT,2025-05-10 16:00:00+00:00,419.5,423.7,418.1,421.7,2649.301,2025-05-10 16:59:59.999000+00:00,1115415.0382,7850,1141.555,480862.3089
BCHUSDT,2025-05-10 17:00:00+00:00,421.7,424.8,420.9,421.2,3991.719,2025-05-10 17:59:59.999000+00:00,1688468.976,10110,1952.277,825674.8404
BCHUSDT,2025-05-10 18:00:00+00:00,421.2,423.5,419.2,421.3,1946.1,2025-05-10 18:59:59.999000+00:00,819542.514,5805,1237.89,521437.5629
BCHUSDT,2025-05-10 19:00:00+00:00,421.3,421.8,418.6,419.2,1165.168,2025-05-10 19:59:59.999000+00:00,489074.1177,4219,409.466,171899.4293
BCHUSDT,2025-05-10 20:00:00+00:00,419.2,421.8,417.5,420.9,1137.186,2025-05-10 20:59:59.999000+00:00,477211.2709,3931,683.686,286883.2953
BCHUSDT,2025-05-10 21:00:00+00:00,420.9,423.7,420.3,422.8,1282.439,2025-05-10 21:59:59.999000+00:00,541528.0558,4609,566.17,239000.6597
BCHUSDT,2025-05-10 22:00:00+00:00,422.8,429.3,421.4,427.1,3385.056,2025-05-10 22:59:59.999000+00:00,1442241.3477,10703,2045.535,871764.64
BCHUSDT,2025-05-10 23:00:00+00:00,427.1,433.3,426.2,431.2,4805.439,2025-05-10 23:59:59.999000+00:00,2067649.5539,15661,2570.568,1106381.0062
BCHUSDT,2025-05-11 00:00:00+00:00,431.1,432.2,417.1,425.3,6512.975,2025-05-11 00:59:59.999000+00:00,2771369.1895,22124,3014.307,1283275.5121
BCHUSDT,2025-05-11 01:00:00+00:00,425.3,428.8,422.0,423.7,2826.467,2025-05-11 01:59:59.999000+00:00,1203370.0962,12102,1225.818,522181.4327
BCHUSDT,2025-05-11 02:00:00+00:00,423.7,428.8,422.1,424.2,2101.125,2025-05-11 02:59:59.999000+00:00,892751.1952,9383,1026.774,436314.8097
BCHUSDT,2025-05-11 03:00:00+00:00,424.2,425.5,415.9,417.7,5911.262,2025-05-11 03:59:59.999000+00:00,2479690.4231,17630,2885.242,1209951.2214
BCHUSDT,2025-05-11 04:00:00+00:00,417.7,421.3,417.3,418.5,2131.581,2025-05-11 04:59:59.999000+00:00,892960.2045,6314,976.59,409269.7132
BCHUSDT,2025-05-11 05:00:00+00:00,418.5,419.1,416.4,416.7,993.035,2025-05-11 05:59:59.999000+00:00,414834.2207,4263,402.409,168148.0388
BCHUSDT,2025-05-11 06:00:00+00:00,416.7,416.8,410.6,413.4,3029.508,2025-05-11 06:59:59.999000+00:00,1254157.2576,8663,1027.435,425411.708
BCHUSDT,2025-05-11 07:00:00+00:00,413.3,413.6,406.7,409.8,3371.526,2025-05-11 07:59:59.999000+00:00,1382322.7523,11574,1244.663,510217.27
BCHUSDT,2025-05-11 08:00:00+00:00,409.8,413.6,409.1,409.9,1312.756,2025-05-11 08:59:59.999000+00:00,539629.8385,5065,664.174,273016.5153
BCHUSDT,2025-05-11 09:00:00+00:00,410.0,415.2,409.9,413.1,3366.67,2025-05-11 09:59:59.999000+00:00,1391137.3647,6754,1478.116,611052.0815
BCHUSDT,2025-05-11 10:00:00+00:00,413.1,414.1,410.7,413.6,1179.558,2025-05-11 10:59:59.999000+00:00,486824.9461,4673,454.937,187762.2359
BCHUSDT,2025-05-11 11:00:00+00:00,413.6,414.5,411.4,413.8,1608.268,2025-05-11 11:59:59.999000+00:00,665044.9646,4330,699.481,289389.8073
BCHUSDT,2025-05-11 12:00:00+00:00,413.8,414.6,411.5,412.3,1364.051,2025-05-11 12:59:59.999000+00:00,563179.1283,4483,553.457,228515.3303
BCHUSDT,2025-05-11 13:00:00+00:00,412.3,413.4,406.7,406.9,1999.26,2025-05-11 13:59:59.999000+00:00,820224.5096,7317,720.896,295938.5287
BCHUSDT,2025-05-11 14:00:00+00:00,406.9,410.7,406.5,409.8,1328.61,2025-05-11 14:59:59.999000+00:00,542873.4118,5639,628.584,256861.109
BCHUSDT,2025-05-11 15:00:00+00:00,409.7,411.8,404.1,407.2,2817.937,2025-05-11 15:59:59.999000+00:00,1147792.8101,8126,1030.357,420391.1137
BCHUSDT,2025-05-11 16:00:00+00:00,407.1,408.0,401.9,407.3,2365.412,2025-05-11 16:59:59.999000+00:00,957894.6103,10152,945.977,383172.9047
BCHUSDT,2025-05-11 17:00:00+00:00,407.2,409.9,406.6,409.7,950.74,2025-05-11 17:59:59.999000+00:00,388468.8173,3846,497.623,203409.2754
