symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
BNBUSDT,2025-05-10 04:00:00+00:00,661.72,661.73,655.0,658.32,30870.173,2025-05-10 04:59:59.999000+00:00,20303513.82869,65317,10453.748,6876037.64333
BNBUSDT,2025-05-10 05:00:00+00:00,658.32,660.0,656.69,659.86,10300.005,2025-05-10 05:59:59.999000+00:00,6782509.32938,33867,4948.497,3259673.31607
BNBUSDT,2025-05-10 06:00:00+00:00,659.86,663.39,659.73,663.38,9217.622,2025-05-10 06:59:59.999000+00:00,6097871.24367,37878,5324.015,3522047.78633
BNBUSDT,2025-05-10 07:00:00+00:00,663.39,664.39,660.92,661.86,15730.629,2025-05-10 07:59:59.999000+00:00,10428221.52002,47801,7920.38,5251116.81356
BNBUSDT,2025-05-10 08:00:00+00:00,661.87,663.5,657.06,659.91,22004.317,2025-05-10 08:59:59.999000+00:00,14527584.54703,62915,10229.454,6752233.3433
BNBUSDT,2025-05-10 09:00:00+00:00,659.92,661.09,656.38,660.06,10768.808,2025-05-10 09:59:59.999000+00:00,7092058.44665,44725,5495.625,3619859.00886
BNBUSDT,2025-05-10 10:00:00+00:00,660.07,661.18,655.5,655.51,11528.644,2025-05-10 10:59:59.999000+00:00,7594435.77442,43507,4676.176,3080493.66561
BNBUSDT,2025-05-10 11:00:00+00:00,655.5,657.15,648.84,649.25,21911.74,2025-05-10 11:59:59.999000+00:00,14301747.0284,62705,8121.917,5303375.28572
BNBUSDT,2025-05-10 12:00:00+00:00,649.27,654.85,648.83,652.19,13028.02,2025-05-10 12:59:59.999000+00:00,8497993.2675,48382,5842.829,3812225.87713
BNBUSDT,2025-05-10 13:00:00+00:00,652.2,655.52,651.06,653.85,13547.984,2025-05-10 13:59:59.999000+00:00,8853061.94801,49788,6561.629,4287801.84244
BNBUSDT,2025-05-10 14:00:00+00:00,653.85,654.43,650.58,651.8,11277.119,2025-05-10 14:59:59.999000+00:00,7352348.46714,45044,4275.545,2788320.26431
BNBUSDT,2025-05-10 15:00:00+00:00,651.8,652.69,649.16,651.44,13389.985,2025-05-10 15:59:59.999000+00:00,8720062.05386,49437,5939.989,3868643.46105
BNBUSDT,2025-05-10 16:00:00+00:00,651.45,657.19,650.85,656.52,12365.781,2025-05-10 16:59:59.999000+00:00,8093271.26322,49707,6592.133,4315231.75218
BNBUSDT,2025-05-10 17:00:00+00:00,656.52,658.5,653.72,655.2,12406.94,2025-05-10 17:59:59.999000+00:00,8139093.12494,59247,6189.876,4060896.11497
BNBUSDT,2025-05-10 18:00:00+00:00,655.2,655.7,652.3,653.12,9742.48,2025-05-10 18:59:59.999000+00:00,6367412.86022,37366,4950.633,3235498.09626
BNBUSDT,2025-05-10 19:00:00+00:00,653.13,654.72,651.03,652.36,7967.584,2025-05-10 19:59:59.999000+00:00,5202623.62414,29118,3595.056,2347246.4975
BNBUSDT,2025-05-10 20:00:00+00:00,652.36,655.05,649.5,654.81,8998.329,2025-05-10 20:59:59.999000+00:00,5870385.68959,38974,4663.004,3042586.45966
BNBUSDT,2025-05-10 21:00:00+00:00,654.81,658.36,652.58,657.02,8278.827,2025-05-10 21:59:59.999000+00:00,5424084.74231,38003,3583.473,2348546.88499
BNBUSDT,2025-05-10 22:00:00+00:00,657.02,657.18,653.8,656.36,9769.791,2025-05-10 22:59:59.999000+00:00,6402638.84097,45796,3916.633,2566964.55743
