symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
DOGEUSDT,2025-05-10 04:00:00+00:00,0.20985,0.21088,0.20827,0.20884,44893123.0,2025-05-10 04:59:59.999000+00:00,9404930.31556,51893,20896672.0,4380227.87546
DOGEUSDT,2025-05-10 05:00:00+00:00,0.20885,0.21645,0.20836,0.21537,81091584.0,2025-05-10 05:59:59.999000+00:00,17260665.40523,70568,41649679.0,8865501.87207
DOGEUSDT,2025-05-10 06:00:00+00:00,0.21538,0.22643,0.21526,0.22617,284177837.0,2025-05-10 06:59:59.999000+00:00,62706954.56756,218559,157832843.0,34844059.2391
DOGEUSDT,2025-05-10 07:00:00+00:00,0.22617,0.22634,0.22151,0.22419,121718955.0,2025-05-10 07:59:59.999000+00:00,27236117.87856,113204,52798834.0,11814729.43218
DOGEUSDT,2025-05-10 08:00:00+00:00,0.2242,0.2268,0.22247,0.22339,136753664.0,2025-05-10 08:59:59.999000+00:00,30757429.6704,118395,67611326.0,15213095.99429
DOGEUSDT,2025-05-10 09:00:00+00:00,0.2234,0.23069,0.22127,0.22944,158229270.0,2025-05-10 09:59:59.999000+00:00,35807889.2786,133616,75700179.0,17168606.8732
DOGEUSDT,2025-05-10 10:00:00+00:00,0.22944,0.2309,0.22563,0.22586,102764668.0,2025-05-10 10:59:59.999000+00:00,23445844.34554,82305,41722965.0,9525885.60073
DOGEUSDT,2025-05-10 11:00:00+00:00,0.22586,0.22785,0.22245,0.22252,82401511.0,2025-05-10 11:59:59.999000+00:00,18510893.83959,67478,33587624.0,7545569.60182
DOGEUSDT,2025-05-10 12:00:00+00:00,0.22253,0.22592,0.22253,0.22556,60888685.0,2025-05-10 12:59:59.999000+00:00,13682661.4647,55681,31505924.0,7079273.8043
DOGEUSDT,2025-05-10 13:00:00+00:00,0.22556,0.22785,0.22487,0.22709,41861282.0,2025-05-10 13:59:59.999000+00:00,9474038.95951,45212,19127346.0,4331105.13072
DOGEUSDT,2025-05-10 14:00:00+00:00,0.22709,0.22916,0.22475,0.22779,63391911.0,2025-05-10 14:59:59.999000+00:00,14369007.32887,52757,25968976.0,5895667.47658
DOGEUSDT,2025-05-10 15:00:00+00:00,0.22779,0.22904,0.22575,0.227,67638107.0,2025-05-10 15:59:59.999000+00:00,15372013.0842,65983,32992480.0,7500622.75559
DOGEUSDT,2025-05-10 16:00:00+00:00,0.227,0.23245,0.22636,0.23155,99493331.0,2025-05-10 16:59:59.999000+00:00,22837226.22277,94494,55972189.0,12849677.29987
DOGEUSDT,2025-05-10 17:00:00+00:00,0.23155,0.23943,0.23136,0.23263,204532521.0,2025-05-10 17:59:59.999000+00:00,48196967.53866,190410,104880949.0,24712717.61847
DOGEUSDT,2025-05-10 18:00:00+00:00,0.23263,0.23509,0.23127,0.2347,69331403.0,2025-05-10 18:59:59.999000+00:00,16157347.75908,70257,31538651.0,7355963.91669
DOGEUSDT,2025-05-10 19:00:00+00:00,0.23471,0.23613,0.23137,0.2353,44036780.0,2025-05-10 19:59:59.999000+00:00,10320634.61593,47470,21399470.0,5014659.70204
DOGEUSDT,2025-05-10 20:00:00+00:00,0.2353,0.23757,0.23226,0.23641,45090837.0,2025-05-10 20:59:59.999000+00:00,10618194.79639,50519,21583769.0,5086646.07535
DOGEUSDT,2025-05-10 21:00:00+00:00,0.23641,0.24096,0.23595,0.24033,63713166.0,2025-05-10 21:59:59.999000+00:00,15197431.14736,61285,34723079.0,8286925.7174
DOGEUSDT,2025-05-10 22:00:00+00:00,0.24033,0.2461,0.23825,0.24575,151296248.0,2025-05-10 22:59:59.999000+00:00,36658759.49406,131901,80601329.0,19542299.33878
DOGEUSDT,2025-05-10 23:00:00+00:00,0.24574,0.25098,0.24552,0.25063,201445790.0,2025-05-10 23:59:59.999000+00:00,49982769.01816,161828,105548334.0,26201059.16001
DOGEUSDT,2025-05-11 00:00:00+00:00,0.25062,0.2597,0.24419,0.24973,402451806.0,2025-05-11 00:59:59.999000+00:00,101508452.81802,284216,183272206.0,46203669.07944
DOGEUSDT,2025-05-11 01:00:00+00:00,0.24974,0.25032,0.2392,0.24073,292267015.0,2025-05-11 01:59:59.999000+00:00,71393945.75321,169113,107908092.0,26361350.69335
DOGEUSDT,2025-05-11 02:00:00+00:00,0.24073,0.244,0.23544,0.23829,171278860.0,2025-05-11 02:59:59.999000+00:00,41111873.68741,125126,75069537.0,18049462.3136
DOGEUSDT,2025-05-11 03:00:00+00:00,0.23829,0.2414,0.23668,0.23963,99392845.0,2025-05-11 03:59:59.999000+00:00,23752533.41026,75347,42793592.0,10241723.57953
DOGEUSDT,2025-05-11 04:00:00+00:00,0.23963,0.24202,0.23906,0.24161,71552722.0,2025-05-11 04:59:59.999000+00:00,17241163.80372,73510,41836814.0,10085817.04467
DOGEUSDT,2025-05-11 05:00:00+00:00,0.24162,0.24268,0.23868,0.23873,120674444.0,2025-05-11 05:59:59.999000+00:00,29091778.36593,76691,67616892.0,16315012.13991
DOGEUSDT,2025-05-11 06:00:00+00:00,0.23874,0.23898,0.23265,0.23436,137978752.0,2025-05-11 06:59:59.999000+00:00,32543046.81415,106356,52525627.0,12385745.52251
