symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
DOTUSDT,2025-05-10 04:00:00+00:00,4.98,5.076,4.93,5.058,434617.49,2025-05-10 04:59:59.999000+00:00,2174116.45111,9534,219386.55,1097859.21076
DOTUSDT,2025-05-10 05:00:00+00:00,5.057,5.112,4.994,5.096,514981.99,2025-05-10 05:59:59.999000+00:00,2596781.90497,10712,270955.34,1366304.81569
DOTUSDT,2025-05-10 06:00:00+00:00,5.097,5.13,5.048,5.1,601857.41,2025-05-10 06:59:59.999000+00:00,3065068.54638,12043,280934.34,1431534.39546
DOTUSDT,2025-05-10 07:00:00+00:00,5.1,5.113,5.025,5.062,374665.73,2025-05-10 07:59:59.999000+00:00,1898652.99797,8094,174912.37,886404.46851
DOTUSDT,2025-05-10 08:00:00+00:00,5.063,5.13,5.04,5.085,536567.51,2025-05-10 08:59:59.999000+00:00,2729330.30089,10106,234207.37,1191663.31254
DOTUSDT,2025-05-10 09:00:00+00:00,5.086,5.145,5.044,5.133,376006.47,2025-05-10 09:59:59.999000+00:00,1917605.08436,8505,197435.62,1007179.83839
DOTUSDT,2025-05-10 10:00:00+00:00,5.133,5.21,5.102,5.103,1024625.4,2025-05-10 10:59:59.999000+00:00,5288199.33394,15564,520636.83,2688167.85445
DOTUSDT,2025-05-10 11:00:00+00:00,5.103,5.168,5.036,5.049,662461.03,2025-05-10 11:59:59.999000+00:00,3375737.43406,13402,276301.82,1408767.54986
DOTUSDT,2025-05-10 12:00:00+00:00,5.049,5.084,5.019,5.04,477826.16,2025-05-10 12:59:59.999000+00:00,2414145.42949,8737,238088.17,1202875.96979
DOTUSDT,2025-05-10 13:00:00+00:00,5.04,5.067,5.011,5.05,257706.37,2025-05-10 13:59:59.999000+00:00,1300341.70199,5726,130547.83,659090.84936
DOTUSDT,2025-05-10 14:00:00+00:00,5.051,5.098,5.008,5.098,451999.2,2025-05-10 14:59:59.999000+00:00,2285188.00052,6565,261891.16,1324694.79704
DOTUSDT,2025-05-10 15:00:00+00:00,5.098,5.117,4.983,5.003,633912.49,2025-05-10 15:59:59.999000+00:00,3191054.47965,10703,280620.29,1413158.31729
DOTUSDT,2025-05-10 16:00:00+00:00,5.004,5.077,4.987,5.072,392621.09,2025-05-10 16:59:59.999000+00:00,1976554.64051,7048,221185.96,1113452.89309
DOTUSDT,2025-05-10 17:00:00+00:00,5.072,5.14,5.038,5.058,512379.99,2025-05-10 17:59:59.999000+00:00,2608728.74307,10261,254520.71,1295412.61077
DOTUSDT,2025-05-10 18:00:00+00:00,5.058,5.108,5.048,5.094,260590.81,2025-05-10 18:59:59.999000+00:00,1323027.73977,5441,140158.31,711428.43798
DOTUSDT,2025-05-10 19:00:00+00:00,5.094,5.094,5.044,5.074,161599.94,2025-05-10 19:59:59.999000+00:00,819662.21244,2981,72185.95,366019.06963
