symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
ETCUSDT,2025-05-10 04:00:00+00:00,19.31,19.31,19.11,19.24,12800.63,2025-05-10 04:59:59.999000+00:00,245514.8198,3983,8510.95,163247.4711
ETCUSDT,2025-05-10 05:00:00+00:00,19.24,19.38,19.19,19.35,19261.23,2025-05-10 05:59:59.999000+00:00,371023.4708,3766,11192.24,215666.9264
ETCUSDT,2025-05-10 06:00:00+00:00,19.35,19.47,19.31,19.45,48326.04,2025-05-10 06:59:59.999000+00:00,936985.0388,6931,25526.35,495045.3309
ETCUSDT,2025-05-10 07:00:00+00:00,19.45,19.67,19.31,19.58,62455.63,2025-05-10 07:59:59.999000+00:00,1216045.0528,7909,33205.58,647144.053
ETCUSDT,2025-05-10 08:00:00+00:00,19.58,19.74,19.35,19.46,54731.21,2025-05-10 08:59:59.999000+00:00,1071044.2288,12411,24758.17,485076.1604
ETCUSDT,2025-05-10 09:00:00+00:00,19.46,19.71,19.32,19.62,34184.43,2025-05-10 09:59:59.999000+00:00,668482.5796,6869,17801.14,348113.2836
ETCUSDT,2025-05-10 10:00:00+00:00,19.62,19.68,19.43,19.43,29264.17,2025-05-10 10:59:59.999000+00:00,572581.6451,7432,10962.44,214642.3011
ETCUSDT,2025-05-10 11:00:00+00:00,19.43,19.53,19.25,19.33,22809.08,2025-05-10 11:59:59.999000+00:00,441408.1137,5289,10538.03,203975.7245
ETCUSDT,2025-05-10 12:00:00+00:00,19.32,19.51,19.32,19.45,25060.15,2025-05-10 12:59:59.999000+00:00,486218.2859,4603,13915.46,270116.4637
ETCUSDT,2025-05-10 13:00:00+00:00,19.45,19.7,19.45,19.66,34062.64,2025-05-10 13:59:59.999000+00:00,666844.6823,4968,18212.84,356584.1045
ETCUSDT,2025-05-10 14:00:00+00:00,19.65,19.75,19.52,19.66,47748.91,2025-05-10 14:59:59.999000+00:00,937555.7009,7086,24685.27,484952.966
ETCUSDT,2025-05-10 15:00:00+00:00,19.66,19.7,19.45,19.63,35600.96,2025-05-10 15:59:59.999000+00:00,698245.4846,5860,18380.4,360456.5977
ETCUSDT,2025-05-10 16:00:00+00:00,19.62,19.9,19.59,19.8,36853.92,2025-05-10 16:59:59.999000+00:00,728240.7017,6644,19140.0,378393.5107
ETCUSDT,2025-05-10 17:00:00+00:00,19.8,20.03,19.7,19.76,95847.92,2025-05-10 17:59:59.999000+00:00,1903579.1074,11233,42255.32,839224.8528
ETCUSDT,2025-05-10 18:00:00+00:00,19.76,20.02,19.73,19.92,19879.6,2025-05-10 18:59:59.999000+00:00,394906.1468,5657,9826.88,195263.2294
ETCUSDT,2025-05-10 19:00:00+00:00,19.93,19.98,19.81,19.9,10286.86,2025-05-10 19:59:59.999000+00:00,204788.5529,3403,5479.43,109119.5352
ETCUSDT,2025-05-10 20:00:00+00:00,19.9,20.15,19.77,20.1,27126.1,2025-05-10 20:59:59.999000+00:00,542642.8936,4669,10019.02,200714.2928
ETCUSDT,2025-05-10 21:00:00+00:00,20.1,20.34,20.09,20.31,40062.37,2025-05-10 21:59:59.999000+00:00,810151.3085,5539,24212.64,489944.403
ETCUSDT,2025-05-10 22:00:00+00:00,20.32,20.68,20.23,20.59,57661.3,2025-05-10 22:59:59.999000+00:00,1180855.9686,8720,25264.54,517552.6006
ETCUSDT,2025-05-10 23:00:00+00:00,20.58,20.79,20.51,20.7,104629.22,2025-05-10 23:59:59.999000+00:00,2160212.8461,11317,38073.44,786545.115
ETCUSDT,2025-05-11 00:00:00+00:00,20.69,20.8,20.07,20.42,103021.9,2025-05-11 00:59:59.999000+00:00,2109214.9957,16993,45503.5,932340.6809
ETCUSDT,2025-05-11 01:00:00+00:00,20.42,20.55,20.22,20.33,38716.34,2025-05-11 01:59:59.999000+00:00,789818.2832,8701,11975.18,244301.3896
ETCUSDT,2025-05-11 02:00:00+00:00,20.34,20.59,20.26,20.38,35427.41,2025-05-11 02:59:59.999000+00:00,723744.6802,7038,13627.34,278536.9822
ETCUSDT,2025-05-11 03:00:00+00:00,20.38,20.5,20.26,20.3,33066.44,2025-05-11 03:59:59.999000+00:00,673977.7796,4852,11052.85,225596.6598
ETCUSDT,2025-05-11 04:00:00+00:00,20.3,20.37,20.12,20.28,36070.5,2025-05-11 04:59:59.999000+00:00,730920.6685,5514,18118.3,367203.9205
ETCUSDT,2025-05-11 05:00:00+00:00,20.29,20.32,20.15,20.15,20610.55,2025-05-11 05:59:59.999000+00:00,416953.595,3832,12875.27,260460.5779
ETCUSDT,2025-05-11 06:00:00+00:00,20.15,20.25,19.95,20.04,39286.43,2025-05-11 06:59:59.999000+00:00,789433.9731,6123,18295.22,367809.3106
ETCUSDT,2025-05-11 07:00:00+00:00,20.03,20.03,19.56,19.72,77034.05,2025-05-11 07:59:59.999000+00:00,1523037.6981,10817,30026.96,593394.3227
ETCUSDT,2025-05-11 08:00:00+00:00,19.72,19.86,19.59,19.64,53107.23,2025-05-11 08:59:59.999000+00:00,1047951.8022,5791,19932.42,393627.2398
ETCUSDT,2025-05-11 09:00:00+00:00,19.64,19.94,19.63,19.87,12843.32,2025-05-11 09:59:59.999000+00:00,254533.5843,3720,6602.96,130778.2127
ETCUSDT,2025-05-11 10:00:00+00:00,19.87,19.93,19.77,19.89,13787.49,2025-05-11 10:59:59.999000+00:00,273594.6853,3069,5999.64,119131.8623
ETCUSDT,2025-05-11 11:00:00+00:00,19.9,20.03,19.87,19.99,17568.9,2025-05-11 11:59:59.999000+00:00,350325.0238,2959,9061.27,180706.0665
ETCUSDT,2025-05-11 12:00:00+00:00,19.98,20.02,19.87,19.91,29170.02,2025-05-11 12:59:59.999000+00:00,581666.958,3880,9702.67,193545.8904
ETCUSDT,2025-05-11 13:00:00+00:00,19.91,20.01,19.6,19.61,33362.61,2025-05-11 13:59:59.999000+00:00,661323.3403,5947,12170.37,241517.691
ETCUSDT,2025-05-11 14:00:00+00:00,19.61,19.83,19.6,19.75,27753.25,2025-05-11 14:59:59.999000+00:00,547756.7089,4420,13821.98,272687.9223
ETCUSDT,2025-05-11 15:00:00+00:00,19.75,19.89,19.53,19.69,34140.87,2025-05-11 15:59:59.999000+00:00,671839.5653,6220,13321.11,262207.4427
ETCUSDT,2025-05-11 16:00:00+00:00,19.69,19.79,19.5,19.71,24232.71,2025-05-11 16:59:59.999000+00:00,475754.6209,5883,9510.37,186803.6089
ETCUSDT,2025-05-11 17:00:00+00:00,19.71,19.93,19.65,19.88,21832.0,2025-05-11 17:59:59.999000+00:00,433486.8588,3801,8332.53,165300.5719
ETCUSDT,2025-05-11 18:00:00+00:00,19.88,19.99,19.78,19.92,14979.48,2025-05-11 18:59:59.999000+00:00,298224.3115,3652,6845.2,136309.9192
ETCUSDT,2025-05-11 19:00:00+00:00,19.92,20.01,19.86,19.87,20613.22,2025-05-11 19:59:59.999000+00:00,411452.6342,2641,12331.83,246320.3916
ETCUSDT,2025-05-11 20:00:00+00:00,19.88,19.93,19.78,19.81,11891.53,2025-05-11 20:59:59.999000+00:00,236122.5812,2630,5325.85,105760.859
ETCUSDT,2025-05-11 21:00:00+00:00,19.82,19.97,19.76,19.95,7199.71,2025-05-11 21:59:59.999000+00:00,142834.2978,1810,4541.69,90069.3735
ETCUSDT,2025-05-11 22:00:00+00:00,19.96,20.05,19.74,19.86,14399.44,2025-05-11 22:59:59.999000+00:00,286353.0828,4082,6527.14,129811.8183
ETCUSDT,2025-05-11 23:00:00+00:00,19.86,20.03,19.85,19.96,12049.71,2025-05-11 23:59:59.999000+00:00,240352.1093,2437,6742.12,134535.9994
ETCUSDT,2025-05-12 00:00:00+00:00,19.96,20.25,19.92,20.1,26909.14,2025-05-12 00:59:59.999000+00:00,540788.3253,6293,15548.33,312635.4232
ETCUSDT,2025-05-12 01:00:00+00:00,20.1,20.24,19.77,19.99,23726.29,2025-05-12 01:59:59.999000+00:00,474239.061,5284,12056.49,241274.8219
ETCUSDT,2025-05-12 02:00:00+00:00,19.99,20.22,19.98,20.15,24718.51,2025-05-12 02:59:59.999000+00:00,497130.6655,4821,11144.59,224285.0505
ETCUSDT,2025-05-12 03:00:00+00:00,20.15,20.21,20.02,20.18,18695.52,2025-05-12 03:59:59.999000+00:00,376297.2793,4532,10037.49,202116.1598
ETCUSDT,2025-05-12 04:00:00+00:00,20.19,20.28,20.1,20.2,18216.05,2025-05-12 04:59:59.999000+00:00,367577.6407,4589,9888.34,199504.9502
ETCUSDT,2025-05-12 05:00:00+00:00,20.19,20.21,19.88,19.96,18403.87,2025-05-12 05:59:59.999000+00:00,368560.0243,4173,7589.97,152116.945
ETCUSDT,2025-05-12 06:00:00+00:00,19.96,20.22,19.91,20.18,28992.76,2025-05-12 06:59:59.999000+00:00,582987.8812,4296,11433.27,229750.0662
ETCUSDT,2025-05-12 07:00:00+00:00,20.19,20.86,20.19,20.37,111579.5,2025-05-12 07:59:59.999000+00:00,2292911.669,19708,50556.84,1039350.5655
ETCUSDT,2025-05-12 08:00:00+00:00,20.38,20.5,20.11,20.48,39405.11,2025-05-12 08:59:59.999000+00:00,800169.0513,9457,22161.3,449939.255
ETCUSDT,2025-05-12 09:00:00+00:00,20.49,20.54,20.33,20.35,21123.42,2025-05-12 09:59:59.999000+00:00,431547.6536,5124,11503.59,235051.9866
ETCUSDT,2025-05-12 10:00:00+00:00,20.35,20.41,20.23,20.4,34390.53,2025-05-12 10:59:59.999000+00:00,699463.3738,6073,17237.6,350753.654
ETCUSDT,2025-05-12 11:00:00+00:00,20.4,20.5,20.13,20.16,44412.77,2025-05-12 11:59:59.999000+00:00,902368.9325,6205,21823.53,443941.5964
ETCUSDT,2025-05-12 12:00:00+00:00,20.15,20.59,20.14,20.52,40924.19,2025-05-12 12:59:59.999000+00:00,835607.2578,6368,25337.29,518163.4529
ETCUSDT,2025-05-12 13:00:00+00:00,20.52,20.68,20.25,20.43,78133.27,2025-05-12 13:59:59.999000+00:00,1598760.3507,10975,37066.64,758547.0474
ETCUSDT,2025-05-12 14:00:00+00:00,20.44,20.49,19.76,19.92,95312.27,2025-05-12 14:59:59.999000+00:00,1908979.6344,17390,42163.55,844115.4494
ETCUSDT,2025-05-12 15:00:00+00:00,19.93,20.01,19.68,19.8,68377.02,2025-05-12 15:59:59.999000+00:00,1357031.3123,13853,31003.29,615438.9846
ETCUSDT,2025-05-12 16:00:00+00:00,19.79,19.92,19.64,19.87,53542.18,2025-05-12 16:59:59.999000+00:00,1059669.2298,8978,18902.55,374221.5085
ETCUSDT,2025-05-12 17:00:00+00:00,19.87,19.99,19.65,19.71,31204.58,2025-05-12 17:59:59.999000+00:00,617612.6698,6413,12443.23,246232.0193
ETCUSDT,2025-05-12 18:00:00+00:00,19.71,19.78,19.17,19.43,79061.86,2025-05-12 18:59:59.999000+00:00,1538596.7855,16386,33699.05,656152.7289
ETCUSDT,2025-05-12 19:00:00+00:00,19.43,19.71,19.37,19.71,28253.07,2025-05-12 19:59:59.999000+00:00,553038.3678,7613,17180.0,336222.4904
ETCUSDT,2025-05-12 20:00:00+00:00,19.7,19.78,19.52,19.69,26183.94,2025-05-12 20:59:59.999000+00:00,514032.2286,4225,11756.49,231222.6802
ETCUSDT,2025-05-12 21:00:00+00:00,19.69,19.82,19.67,19.8,9837.15,2025-05-12 21:59:59.999000+00:00,194123.9861,2334,3588.83,70859.5701
