symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
ETHUSDT,2025-05-10 04:00:00+00:00,2339.89,2339.89,2326.66,2337.0,9484.7944,2025-05-10 04:59:59.999000+00:00,22124835.68214,89604,4811.4162,11224427.514658
ETHUSDT,2025-05-10 05:00:00+00:00,2337.0,2355.36,2337.0,2353.08,16099.9151,2025-05-10 05:59:59.999000+00:00,37743229.476109,96313,10023.1644,23499975.284825
ETHUSDT,2025-05-10 06:00:00+00:00,2353.08,2378.08,2351.15,2367.69,37853.7133,2025-05-10 06:59:59.999000+00:00,89520122.645912,204055,22328.3091,52810845.127669
ETHUSDT,2025-05-10 07:00:00+00:00,2367.68,2417.13,2355.01,2400.0,57954.0678,2025-05-10 07:59:59.999000+00:00,138031144.83471,200838,32307.124,76958744.976035
ETHUSDT,2025-05-10 08:00:00+00:00,2400.01,2435.72,2360.0,2382.6,83001.7803,2025-05-10 08:59:59.999000+00:00,199569107.728228,340087,41877.7576,100734529.177508
ETHUSDT,2025-05-10 09:00:00+00:00,2382.62,2422.47,2365.58,2401.32,59379.3026,2025-05-10 09:59:59.999000+00:00,141925697.484924,291760,25894.5809,61951663.147936
ETHUSDT,2025-05-10 10:00:00+00:00,2401.31,2429.1,2385.0,2396.96,47152.8537,2025-05-10 10:59:59.999000+00:00,113648097.109206,245879,22242.1733,53619747.448966
ETHUSDT,2025-05-10 11:00:00+00:00,2396.93,2404.22,2375.24,2384.75,31732.5146,2025-05-10 11:59:59.999000+00:00,75826917.71599,178487,14008.677,33486910.189485
ETHUSDT,2025-05-10 12:00:00+00:00,2384.76,2421.25,2384.76,2408.28,32073.9542,2025-05-10 12:59:59.999000+00:00,77174071.794761,164664,17950.5051,43189962.832227
ETHUSDT,2025-05-10 13:00:00+00:00,2408.28,2448.88,2408.28,2437.84,41314.7654,2025-05-10 13:59:59.999000+00:00,100310004.673496,197539,22810.7583,55385012.663335
ETHUSDT,2025-05-10 14:00:00+00:00,2437.84,2444.76,2407.0,2435.87,36627.1804,2025-05-10 14:59:59.999000+00:00,88892318.361873,190258,17548.863,42614971.593007
ETHUSDT,2025-05-10 15:00:00+00:00,2435.88,2446.06,2422.63,2433.46,28157.2596,2025-05-10 15:59:59.999000+00:00,68556179.991214,170901,13883.0164,33811013.265039
ETHUSDT,2025-05-10 16:00:00+00:00,2433.46,2475.25,2428.93,2461.26,51917.6453,2025-05-10 16:59:59.999000+00:00,127436835.004018,217571,26606.1145,65318561.284286
ETHUSDT,2025-05-10 17:00:00+00:00,2461.26,2512.42,2450.01,2461.23,98974.2656,2025-05-10 17:59:59.999000+00:00,245624814.062221,386993,54649.4332,135680043.995794
ETHUSDT,2025-05-10 18:00:00+00:00,2461.22,2506.94,2457.29,2495.26,45624.3327,2025-05-10 18:59:59.999000+00:00,113277842.95391,227042,24700.5081,61335280.612878
ETHUSDT,2025-05-10 19:00:00+00:00,2495.26,2507.13,2476.67,2499.48,25653.6173,2025-05-10 19:59:59.999000+00:00,63926843.193211,142269,11893.3126,29645663.47545
ETHUSDT,2025-05-10 20:00:00+00:00,2499.49,2505.0,2469.1,2491.02,26038.4987,2025-05-10 20:59:59.999000+00:00,64781440.16677,145769,12131.9408,30196671.714207
ETHUSDT,2025-05-10 21:00:00+00:00,2491.03,2545.67,2491.03,2533.83,40195.7044,2025-05-10 21:59:59.999000+00:00,101138135.936357,208835,23560.0766,59298892.083075
