symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
LTCUSDT,2025-05-10 04:00:00+00:00,103.44,103.74,102.14,103.19,31963.512,2025-05-10 04:59:59.999000+00:00,3296277.2287,20153,13732.728,1417128.35455
LTCUSDT,2025-05-10 05:00:00+00:00,103.19,103.28,102.16,103.18,21114.018,2025-05-10 05:59:59.999000+00:00,2167810.44992,15983,11260.032,1156301.10395
LTCUSDT,2025-05-10 06:00:00+00:00,103.18,104.37,103.14,103.81,32029.09,2025-05-10 06:59:59.999000+00:00,3323320.91756,25540,16536.03,1716004.26599
LTCUSDT,2025-05-10 07:00:00+00:00,103.81,104.28,103.2,103.98,25687.699,2025-05-10 07:59:59.999000+00:00,2662648.09277,19355,12518.628,1297723.46266
LTCUSDT,2025-05-10 08:00:00+00:00,103.98,104.55,101.0,102.91,52664.754,2025-05-10 08:59:59.999000+00:00,5438568.39845,30840,22252.624,2301843.6299
LTCUSDT,2025-05-10 09:00:00+00:00,102.91,103.8,102.24,103.35,33792.902,2025-05-10 09:59:59.999000+00:00,3482314.50285,22835,19115.558,1969789.68138
LTCUSDT,2025-05-10 10:00:00+00:00,103.36,103.71,102.37,102.4,17456.312,2025-05-10 10:59:59.999000+00:00,1799711.71974,16713,7216.804,744596.80418
LTCUSDT,2025-05-10 11:00:00+00:00,102.39,102.72,100.52,100.7,43990.958,2025-05-10 11:59:59.999000+00:00,4464368.32813,30371,18039.824,1831175.85314
LTCUSDT,2025-05-10 12:00:00+00:00,100.71,102.43,100.71,101.84,28633.334,2025-05-10 12:59:59.999000+00:00,2911471.41366,21205,14468.38,1471386.15637
LTCUSDT,2025-05-10 13:00:00+00:00,101.84,102.72,101.57,102.4,18432.619,2025-05-10 13:59:59.999000+00:00,1882305.2149,17497,9415.089,961447.43964
LTCUSDT,2025-05-10 14:00:00+00:00,102.4,102.72,101.94,102.22,18518.472,2025-05-10 14:59:59.999000+00:00,1893793.14912,17464,8396.531,858711.84946
LTCUSDT,2025-05-10 15:00:00+00:00,102.23,102.4,101.3,101.83,20079.902,2025-05-10 15:59:59.999000+00:00,2046473.62259,18262,10138.919,1033294.80927
LTCUSDT,2025-05-10 16:00:00+00:00,101.82,103.69,101.82,103.47,47219.819,2025-05-10 16:59:59.999000+00:00,4860956.80512,27260,22158.597,2280652.43794
LTCUSDT,2025-05-10 17:00:00+00:00,103.46,104.48,102.92,103.16,34822.321,2025-05-10 17:59:59.999000+00:00,3614093.6634,27154,17094.28,1774639.82514
LTCUSDT,2025-05-10 18:00:00+00:00,103.16,103.53,102.72,103.25,18549.434,2025-05-10 18:59:59.999000+00:00,1913847.33569,18548,8705.999,898390.62365
LTCUSDT,2025-05-10 19:00:00+00:00,103.24,103.59,102.9,103.42,11863.752,2025-05-10 19:59:59.999000+00:00,1224586.19467,11908,6406.138,661443.94911
LTCUSDT,2025-05-10 20:00:00+00:00,103.42,103.94,102.8,103.9,11534.951,2025-05-10 20:59:59.999000+00:00,1192863.13631,10836,5122.518,529737.10954
LTCUSDT,2025-05-10 21:00:00+00:00,103.9,104.47,103.65,104.22,14134.928,2025-05-10 21:59:59.999000+00:00,1470139.37867,11739,7283.87,757684.8321
