symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
NEARUSDT,2025-05-10 04:00:00+00:00,2.945,2.965,2.926,2.948,576036.8,2025-05-10 04:59:59.999000+00:00,1697124.4081,9208,294302.8,867237.7886
NEARUSDT,2025-05-10 05:00:00+00:00,2.948,2.973,2.93,2.966,295199.5,2025-05-10 05:59:59.999000+00:00,869763.3003,6675,152342.7,448952.6719
NEARUSDT,2025-05-10 06:00:00+00:00,2.965,2.997,2.959,2.987,656584.2,2025-05-10 06:59:59.999000+00:00,1956045.4068,13241,344822.7,1027545.522
NEARUSDT,2025-05-10 07:00:00+00:00,2.988,2.999,2.951,2.991,574118.2,2025-05-10 07:59:59.999000+00:00,1709848.9438,10325,319243.8,950511.5068
NEARUSDT,2025-05-10 08:00:00+00:00,2.992,3.013,2.959,2.979,813922.2,2025-05-10 08:59:59.999000+00:00,2434066.5417,16234,468735.4,1402910.603
NEARUSDT,2025-05-10 09:00:00+00:00,2.979,3.031,2.95,3.022,552296.4,2025-05-10 09:59:59.999000+00:00,1651748.6191,12166,298487.9,893542.0036
NEARUSDT,2025-05-10 10:00:00+00:00,3.023,3.024,2.97,2.971,643961.8,2025-05-10 10:59:59.999000+00:00,1930611.3062,12981,291127.0,872663.2363
NEARUSDT,2025-05-10 11:00:00+00:00,2.971,2.986,2.918,2.925,560719.6,2025-05-10 11:59:59.999000+00:00,1654318.5284,12603,254762.5,751747.236
NEARUSDT,2025-05-10 12:00:00+00:00,2.925,2.961,2.925,2.949,268379.7,2025-05-10 12:59:59.999000+00:00,791057.0309,6462,120391.8,354562.0694
NEARUSDT,2025-05-10 13:00:00+00:00,2.95,3.014,2.95,3.007,271785.3,2025-05-10 13:59:59.999000+00:00,810947.7124,8001,133001.1,396918.7072
NEARUSDT,2025-05-10 14:00:00+00:00,3.007,3.019,2.976,2.999,272762.7,2025-05-10 14:59:59.999000+00:00,817591.8938,7839,132247.7,396393.2486
NEARUSDT,2025-05-10 15:00:00+00:00,3.0,3.001,2.957,2.963,244245.9,2025-05-10 15:59:59.999000+00:00,726477.8682,9105,111988.3,333133.2039
NEARUSDT,2025-05-10 16:00:00+00:00,2.962,3.029,2.958,3.027,505562.9,2025-05-10 16:59:59.999000+00:00,1514346.5131,10824,272018.4,815329.9947
NEARUSDT,2025-05-10 17:00:00+00:00,3.027,3.076,3.018,3.023,784514.2,2025-05-10 17:59:59.999000+00:00,2389948.4017,19015,406621.2,1239393.7595
NEARUSDT,2025-05-10 18:00:00+00:00,3.023,3.061,3.018,3.054,393929.2,2025-05-10 18:59:59.999000+00:00,1196108.1806,9814,194162.2,589758.7652
NEARUSDT,2025-05-10 19:00:00+00:00,3.054,3.094,3.045,3.074,696223.4,2025-05-10 19:59:59.999000+00:00,2143443.9165,9757,369690.2,1138052.9608
NEARUSDT,2025-05-10 20:00:00+00:00,3.073,3.135,3.055,3.135,520379.8,2025-05-10 20:59:59.999000+00:00,1615844.4019,12083,302514.1,939607.3749
NEARUSDT,2025-05-10 21:00:00+00:00,3.135,3.192,3.134,3.185,639018.3,2025-05-10 21:59:59.999000+00:00,2023077.9524,16498,364300.1,1153464.8509
NEARUSDT,2025-05-10 22:00:00+00:00,3.185,3.302,3.177,3.289,1379143.2,2025-05-10 22:59:59.999000+00:00,4484284.3488,29578,814713.9,2647219.6455
NEARUSDT,2025-05-10 23:00:00+00:00,3.289,3.383,3.276,3.35,2062200.0,2025-05-10 23:59:59.999000+00:00,6866739.9099,33740,979685.9,3262028.3642
NEARUSDT,2025-05-11 00:00:00+00:00,3.351,3.361,3.218,3.33,2008174.0,2025-05-11 00:59:59.999000+00:00,6603283.2784,42732,895000.7,2945023.7635
NEARUSDT,2025-05-11 01:00:00+00:00,3.33,3.348,3.266,3.291,929076.6,2025-05-11 01:59:59.999000+00:00,3077023.8671,22068,378980.5,1255136.5569
NEARUSDT,2025-05-11 02:00:00+00:00,3.291,3.347,3.279,3.329,896223.2,2025-05-11 02:59:59.999000+00:00,2969364.7496,18326,568123.9,1880979.3662
NEARUSDT,2025-05-11 03:00:00+00:00,3.33,3.371,3.306,3.307,849180.5,2025-05-11 03:59:59.999000+00:00,2838000.6546,16634,455082.3,1521374.6742
NEARUSDT,2025-05-11 04:00:00+00:00,3.306,3.315,3.274,3.307,484607.3,2025-05-11 04:59:59.999000+00:00,1596722.7054,11695,253952.8,836822.1516
NEARUSDT,2025-05-11 05:00:00+00:00,3.306,3.324,3.293,3.303,379876.9,2025-05-11 05:59:59.999000+00:00,1256561.9417,8923,209277.3,692242.7564
NEARUSDT,2025-05-11 06:00:00+00:00,3.303,3.32,3.246,3.265,546704.7,2025-05-11 06:59:59.999000+00:00,1792895.13,13703,218507.2,716984.1063
NEARUSDT,2025-05-11 07:00:00+00:00,3.265,3.267,3.159,3.184,1483653.1,2025-05-11 07:59:59.999000+00:00,4760693.513,28024,674026.5,2162297.0198
NEARUSDT,2025-05-11 08:00:00+00:00,3.185,3.226,3.158,3.175,637000.3,2025-05-11 08:59:59.999000+00:00,2033203.8444,12968,372149.5,1188877.1624
NEARUSDT,2025-05-11 09:00:00+00:00,3.176,3.222,3.168,3.197,367786.2,2025-05-11 09:59:59.999000+00:00,1178946.5191,9675,152821.5,489860.8532
NEARUSDT,2025-05-11 10:00:00+00:00,3.196,3.206,3.173,3.187,245633.3,2025-05-11 10:59:59.999000+00:00,783397.1461,7376,123121.6,392882.4286
NEARUSDT,2025-05-11 11:00:00+00:00,3.187,3.211,3.178,3.207,286950.9,2025-05-11 11:59:59.999000+00:00,916737.632,6804,135964.7,434350.587
NEARUSDT,2025-05-11 12:00:00+00:00,3.207,3.212,3.167,3.181,519258.9,2025-05-11 12:59:59.999000+00:00,1657188.1262,10255,272077.9,868915.2822
NEARUSDT,2025-05-11 13:00:00+00:00,3.182,3.198,3.097,3.099,726346.2,2025-05-11 13:59:59.999000+00:00,2283201.5365,15686,294311.4,925761.8926
NEARUSDT,2025-05-11 14:00:00+00:00,3.1,3.156,3.1,3.143,483247.2,2025-05-11 14:59:59.999000+00:00,1515202.0342,12115,266271.8,834819.9827
NEARUSDT,2025-05-11 15:00:00+00:00,3.143,3.171,3.091,3.115,501552.7,2025-05-11 15:59:59.999000+00:00,1566093.3766,12448,248061.3,774274.6497
NEARUSDT,2025-05-11 16:00:00+00:00,3.114,3.128,3.065,3.109,787440.0,2025-05-11 16:59:59.999000+00:00,2433646.2303,16679,385298.3,1190990.6937
NEARUSDT,2025-05-11 17:00:00+00:00,3.109,3.157,3.108,3.151,319314.2,2025-05-11 17:59:59.999000+00:00,1000256.5979,9063,182400.6,571442.6311
NEARUSDT,2025-05-11 18:00:00+00:00,3.152,3.178,3.112,3.169,380352.5,2025-05-11 18:59:59.999000+00:00,1198349.351,9372,201418.6,635053.2295
NEARUSDT,2025-05-11 19:00:00+00:00,3.168,3.178,3.158,3.164,325460.6,2025-05-11 19:59:59.999000+00:00,1031294.4944,6979,194464.6,616358.4481
NEARUSDT,2025-05-11 20:00:00+00:00,3.165,3.172,3.123,3.136,371158.5,2025-05-11 20:59:59.999000+00:00,1167697.1579,7903,188692.5,593480.2479
NEARUSDT,2025-05-11 21:00:00+00:00,3.135,3.149,3.115,3.145,319232.0,2025-05-11 21:59:59.999000+00:00,998352.8507,5507,138509.7,433135.8905
