symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
POLUSDT,2025-05-10 04:00:00+00:00,0.2583,0.2583,0.2557,0.2566,1287482.1,2025-05-10 04:59:59.999000+00:00,330792.95338,2208,696047.8,178865.81767
POLUSDT,2025-05-10 05:00:00+00:00,0.2567,0.257,0.2547,0.2568,1607026.7,2025-05-10 05:59:59.999000+00:00,411175.29834,2259,774265.0,198135.17053
POLUSDT,2025-05-10 06:00:00+00:00,0.2568,0.2605,0.2566,0.2594,3549296.3,2025-05-10 06:59:59.999000+00:00,919736.26499,4934,1943350.6,503449.54636
POLUSDT,2025-05-10 07:00:00+00:00,0.2594,0.263,0.2578,0.2621,3106089.2,2025-05-10 07:59:59.999000+00:00,808243.92303,5275,1496730.7,389618.23556
POLUSDT,2025-05-10 08:00:00+00:00,0.2621,0.263,0.2581,0.2593,2498908.5,2025-05-10 08:59:59.999000+00:00,652744.48841,6395,1342055.6,350385.3618
POLUSDT,2025-05-10 09:00:00+00:00,0.2594,0.2604,0.2575,0.2593,1955957.0,2025-05-10 09:59:59.999000+00:00,506386.68385,3041,875671.1,226748.68495
POLUSDT,2025-05-10 10:00:00+00:00,0.2594,0.2607,0.2569,0.257,1491977.3,2025-05-10 10:59:59.999000+00:00,387116.96544,2738,756629.9,196451.07459
POLUSDT,2025-05-10 11:00:00+00:00,0.257,0.2579,0.2534,0.254,1777705.8,2025-05-10 11:59:59.999000+00:00,454564.00563,3633,789535.6,201913.69558
POLUSDT,2025-05-10 12:00:00+00:00,0.254,0.2572,0.254,0.2566,1084982.9,2025-05-10 12:59:59.999000+00:00,277890.90523,2441,613138.6,157068.84481
POLUSDT,2025-05-10 13:00:00+00:00,0.2566,0.26,0.2565,0.259,1858971.3,2025-05-10 13:59:59.999000+00:00,480673.10897,2960,1001255.8,258964.77597
POLUSDT,2025-05-10 14:00:00+00:00,0.2589,0.2595,0.2562,0.2587,1110546.0,2025-05-10 14:59:59.999000+00:00,286379.14694,2154,548945.7,141642.9345
POLUSDT,2025-05-10 15:00:00+00:00,0.2588,0.2593,0.2554,0.2564,1243309.0,2025-05-10 15:59:59.999000+00:00,319178.72662,2380,663515.2,170360.34275
POLUSDT,2025-05-10 16:00:00+00:00,0.2565,0.2613,0.2556,0.261,3985931.4,2025-05-10 16:59:59.999000+00:00,1034799.20564,4811,2526307.3,656041.90556
POLUSDT,2025-05-10 17:00:00+00:00,0.2609,0.2653,0.26,0.2606,5927951.8,2025-05-10 17:59:59.999000+00:00,1559739.75352,7147,3428580.8,902129.57343
POLUSDT,2025-05-10 18:00:00+00:00,0.2606,0.2646,0.2602,0.264,2302899.0,2025-05-10 18:59:59.999000+00:00,604906.32798,3066,1292480.0,339432.56888
POLUSDT,2025-05-10 19:00:00+00:00,0.264,0.2645,0.2628,0.2637,1575320.0,2025-05-10 19:59:59.999000+00:00,415710.3751,2058,902651.9,238219.37556
POLUSDT,2025-05-10 20:00:00+00:00,0.2639,0.2639,0.2612,0.2623,1863975.7,2025-05-10 20:59:59.999000+00:00,488995.18009,2294,978327.1,256632.9487
POLUSDT,2025-05-10 21:00:00+00:00,0.2624,0.2685,0.2623,0.266,3706283.9,2025-05-10 21:59:59.999000+00:00,985945.36649,4931,1841361.0,489894.88478
POLUSDT,2025-05-10 22:00:00+00:00,0.266,0.2709,0.266,0.2706,3199785.7,2025-05-10 22:59:59.999000+00:00,859758.12835,4266,1931195.5,519251.24146
POLUSDT,2025-05-10 23:00:00+00:00,0.2707,0.2754,0.2706,0.2743,4011796.3,2025-05-10 23:59:59.999000+00:00,1097365.1868,5768,1897586.5,519151.12847
POLUSDT,2025-05-11 00:00:00+00:00,0.2743,0.2766,0.2655,0.2689,5738745.2,2025-05-11 00:59:59.999000+00:00,1554466.84443,9194,2809442.6,761260.55772
POLUSDT,2025-05-11 01:00:00+00:00,0.2689,0.2713,0.2672,0.2693,3356933.1,2025-05-11 01:59:59.999000+00:00,905133.28341,4045,1655347.1,446352.09511
POLUSDT,2025-05-11 02:00:00+00:00,0.2694,0.2755,0.2687,0.2718,4528630.1,2025-05-11 02:59:59.999000+00:00,1233461.30067,5508,2305396.1,628642.74654
POLUSDT,2025-05-11 03:00:00+00:00,0.2718,0.2741,0.2691,0.2692,2435417.7,2025-05-11 03:59:59.999000+00:00,662316.04999,3646,1375381.0,374044.55695
POLUSDT,2025-05-11 04:00:00+00:00,0.2692,0.271,0.2678,0.27,2156581.9,2025-05-11 04:59:59.999000+00:00,581219.2139,2944,931906.9,251171.68369
POLUSDT,2025-05-11 05:00:00+00:00,0.27,0.2706,0.2684,0.2687,1461140.4,2025-05-11 05:59:59.999000+00:00,393971.32504,2116,780628.8,210457.55575
POLUSDT,2025-05-11 06:00:00+00:00,0.2686,0.2688,0.2608,0.263,2661312.2,2025-05-11 06:59:59.999000+00:00,704249.09199,4722,1507784.3,398816.13535
POLUSDT,2025-05-11 07:00:00+00:00,0.263,0.263,0.2573,0.2588,4379039.8,2025-05-11 07:59:59.999000+00:00,1136117.7526,6815,2192140.2,569335.01552
POLUSDT,2025-05-11 08:00:00+00:00,0.2588,0.2622,0.2581,0.2591,1912507.0,2025-05-11 08:59:59.999000+00:00,497251.79473,2712,1109734.2,288588.33397
POLUSDT,2025-05-11 09:00:00+00:00,0.2592,0.262,0.259,0.2602,1754369.5,2025-05-11 09:59:59.999000+00:00,457447.25854,2160,803168.6,209352.22051
POLUSDT,2025-05-11 10:00:00+00:00,0.2602,0.2613,0.2592,0.2611,1138905.9,2025-05-11 10:59:59.999000+00:00,296515.27141,1944,778284.3,202675.3499
POLUSDT,2025-05-11 11:00:00+00:00,0.2611,0.2619,0.2604,0.2613,942840.1,2025-05-11 11:59:59.999000+00:00,246208.89735,1678,570522.4,148976.35947
POLUSDT,2025-05-11 12:00:00+00:00,0.2612,0.2622,0.2601,0.2617,1326359.5,2025-05-11 12:59:59.999000+00:00,346347.51345,2099,775490.8,202517.67954
POLUSDT,2025-05-11 13:00:00+00:00,0.2616,0.2619,0.2546,0.2548,3101242.7,2025-05-11 13:59:59.999000+00:00,799681.05839,5434,1668774.7,430671.42815
POLUSDT,2025-05-11 14:00:00+00:00,0.255,0.2582,0.2547,0.2571,1621599.4,2025-05-11 14:59:59.999000+00:00,416553.85327,2673,955709.4,245517.47328
POLUSDT,2025-05-11 15:00:00+00:00,0.2571,0.2589,0.2533,0.256,1867384.1,2025-05-11 15:59:59.999000+00:00,478582.84549,4496,1043435.6,267755.71468
POLUSDT,2025-05-11 16:00:00+00:00,0.256,0.2563,0.2527,0.2545,1561836.0,2025-05-11 16:59:59.999000+00:00,397317.3153,4194,865127.4,220130.84725
POLUSDT,2025-05-11 17:00:00+00:00,0.2546,0.2581,0.2539,0.2571,1467723.0,2025-05-11 17:59:59.999000+00:00,375877.44098,2738,888036.7,227558.79845
POLUSDT,2025-05-11 18:00:00+00:00,0.2569,0.2588,0.2551,0.2576,1453560.9,2025-05-11 18:59:59.999000+00:00,373951.31149,2094,801520.1,206177.89458
POLUSDT,2025-05-11 19:00:00+00:00,0.2576,0.2592,0.2566,0.257,1151904.3,2025-05-11 19:59:59.999000+00:00,296982.10754,1978,649453.2,167418.56288
POLUSDT,2025-05-11 20:00:00+00:00,0.2572,0.258,0.2548,0.2562,897435.9,2025-05-11 20:59:59.999000+00:00,229956.79732,1761,517580.0,132625.71239
POLUSDT,2025-05-11 21:00:00+00:00,0.2561,0.2566,0.2543,0.2563,1183420.1,2025-05-11 21:59:59.999000+00:00,302064.01469,1924,732445.0,186934.47284
POLUSDT,2025-05-11 22:00:00+00:00,0.2563,0.2575,0.2549,0.2562,1371465.7,2025-05-11 22:59:59.999000+00:00,350977.30691,2061,657350.0,168216.93033
POLUSDT,2025-05-11 23:00:00+00:00,0.2562,0.2571,0.2542,0.2551,1346959.6,2025-05-11 23:59:59.999000+00:00,344217.40133,2026,770711.9,197000.58648
POLUSDT,2025-05-12 00:00:00+00:00,0.2551,0.2593,0.255,0.2588,3959167.0,2025-05-12 00:59:59.999000+00:00,1020344.54406,3885,1968132.6,506772.51982
POLUSDT,2025-05-12 01:00:00+00:00,0.2588,0.2597,0.2535,0.256,2750711.9,2025-05-12 01:59:59.999000+00:00,706151.82962,3848,1535883.5,394650.4739
POLUSDT,2025-05-12 02:00:00+00:00,0.2561,0.2585,0.2559,0.257,1521349.7,2025-05-12 02:59:59.999000+00:00,391146.24115,2716,831061.7,213682.54266
