symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
SOLUSDT,2025-05-10 04:00:00+00:00,171.59,171.59,170.14,170.85,84775.606,2025-05-10 04:59:59.999000+00:00,14469900.24093,68703,38706.053,6605898.48829
SOLUSDT,2025-05-10 05:00:00+00:00,170.86,171.3,169.76,171.2,77031.518,2025-05-10 05:59:59.999000+00:00,13138981.61501,71426,41302.194,7047218.60768
SOLUSDT,2025-05-10 06:00:00+00:00,171.2,172.32,171.09,172.1,116763.254,2025-05-10 06:59:59.999000+00:00,20059213.67054,96772,69163.268,11882848.95823
SOLUSDT,2025-05-10 07:00:00+00:00,172.1,172.54,171.21,172.32,108745.883,2025-05-10 07:59:59.999000+00:00,18692892.30749,87513,60895.809,10468967.03803
SOLUSDT,2025-05-10 08:00:00+00:00,172.32,173.4,171.18,171.63,197212.605,2025-05-10 08:59:59.999000+00:00,34008063.58063,125274,107123.812,18482584.83834
SOLUSDT,2025-05-10 09:00:00+00:00,171.64,172.05,170.55,171.68,169361.784,2025-05-10 09:59:59.999000+00:00,29003800.44019,106411,69473.699,11900704.19641
SOLUSDT,2025-05-10 10:00:00+00:00,171.68,172.29,170.29,170.3,137176.446,2025-05-10 10:59:59.999000+00:00,23511256.89661,95310,56532.535,9691338.77626
SOLUSDT,2025-05-10 11:00:00+00:00,170.3,170.71,168.72,169.0,167295.751,2025-05-10 11:59:59.999000+00:00,28377225.13486,114009,65446.299,11103532.35735
SOLUSDT,2025-05-10 12:00:00+00:00,169.0,171.35,169.0,171.16,145103.843,2025-05-10 12:59:59.999000+00:00,24731441.17127,81686,74221.518,12651377.26141
SOLUSDT,2025-05-10 13:00:00+00:00,171.16,172.0,170.98,171.72,89167.983,2025-05-10 13:59:59.999000+00:00,15284465.20943,62989,39413.078,6757121.57975
SOLUSDT,2025-05-10 14:00:00+00:00,171.72,172.03,170.28,171.69,85052.438,2025-05-10 14:59:59.999000+00:00,14558644.19416,76726,44285.375,7581788.80716
SOLUSDT,2025-05-10 15:00:00+00:00,171.7,171.84,170.92,171.07,95722.235,2025-05-10 15:59:59.999000+00:00,16407247.03876,85914,48060.843,8239320.58859
SOLUSDT,2025-05-10 16:00:00+00:00,171.07,172.46,170.86,171.85,113882.961,2025-05-10 16:59:59.999000+00:00,19552197.74223,80172,63109.482,10835680.77425
SOLUSDT,2025-05-10 17:00:00+00:00,171.84,173.83,171.53,171.8,230293.432,2025-05-10 17:59:59.999000+00:00,39768975.87253,142066,126580.551,21863199.56308
SOLUSDT,2025-05-10 18:00:00+00:00,171.8,172.5,171.11,172.5,98262.173,2025-05-10 18:59:59.999000+00:00,16896233.10125,70536,39704.39,6826812.64953
SOLUSDT,2025-05-10 19:00:00+00:00,172.5,172.78,171.57,172.22,81137.596,2025-05-10 19:59:59.999000+00:00,13972326.6212,55702,37211.112,6408076.48713
SOLUSDT,2025-05-10 20:00:00+00:00,172.22,172.95,171.41,172.7,135644.882,2025-05-10 20:59:59.999000+00:00,23386727.21862,70313,81790.247,14103099.04365
SOLUSDT,2025-05-10 21:00:00+00:00,172.7,174.5,172.38,174.12,127140.258,2025-05-10 21:59:59.999000+00:00,22049216.83871,73160,76376.279,13246510.76704
SOLUSDT,2025-05-10 22:00:00+00:00,174.12,175.11,172.98,174.98,172966.108,2025-05-10 22:59:59.999000+00:00,30120215.58126,108588,94654.364,16494804.77099
SOLUSDT,2025-05-10 23:00:00+00:00,174.97,178.98,174.57,177.89,457520.605,2025-05-10 23:59:59.999000+00:00,81057819.50416,238792,265953.043,47119365.19374
SOLUSDT,2025-05-11 00:00:00+00:00,177.89,179.65,172.92,179.16,499067.262,2025-05-11 00:59:59.999000+00:00,88370975.4224,340193,262737.026,46558713.2729
SOLUSDT,2025-05-11 01:00:00+00:00,179.16,180.26,175.56,176.97,392538.767,2025-05-11 01:59:59.999000+00:00,70145578.48269,283635,206301.955,36900883.19731
SOLUSDT,2025-05-11 02:00:00+00:00,176.96,177.86,174.72,175.82,168603.848,2025-05-11 02:59:59.999000+00:00,29785002.88721,156607,81261.584,14362285.93749
SOLUSDT,2025-05-11 03:00:00+00:00,175.83,176.73,174.9,175.86,91146.506,2025-05-11 03:59:59.999000+00:00,16031283.13256,78747,40816.622,7180621.21078
SOLUSDT,2025-05-11 04:00:00+00:00,175.86,177.7,175.76,177.26,102573.245,2025-05-11 04:59:59.999000+00:00,18147830.59614,82408,54065.156,9566376.43402
SOLUSDT,2025-05-11 05:00:00+00:00,177.27,177.58,176.11,176.18,68082.962,2025-05-11 05:59:59.999000+00:00,12033963.84605,65324,31316.998,5537220.55238
SOLUSDT,2025-05-11 06:00:00+00:00,176.18,176.26,173.8,174.76,144129.353,2025-05-11 06:59:59.999000+00:00,25230272.02212,111257,55762.931,9763652.5508
SOLUSDT,2025-05-11 07:00:00+00:00,174.75,174.75,172.29,172.6,161552.955,2025-05-11 07:59:59.999000+00:00,28006426.33797,138383,63598.51,11029790.91142
SOLUSDT,2025-05-11 08:00:00+00:00,172.61,173.96,172.58,173.0,110915.779,2025-05-11 08:59:59.999000+00:00,19234625.86515,83538,46754.3,8107955.38113
