symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
UNIUSDT,2025-05-10 04:00:00+00:00,6.438,6.45,6.369,6.421,215606.3,2025-05-10 04:59:59.999000+00:00,1380432.56864,5955,117106.94,749926.23138
UNIUSDT,2025-05-10 05:00:00+00:00,6.421,6.472,6.399,6.463,159656.14,2025-05-10 05:59:59.999000+00:00,1025936.21249,4236,81223.07,522113.76691
UNIUSDT,2025-05-10 06:00:00+00:00,6.463,6.549,6.456,6.531,253415.06,2025-05-10 06:59:59.999000+00:00,1648132.0709,7867,139739.95,908663.32019
UNIUSDT,2025-05-10 07:00:00+00:00,6.53,6.69,6.463,6.604,552901.4,2025-05-10 07:59:59.999000+00:00,3630887.77034,12580,280551.36,1841953.55326
UNIUSDT,2025-05-10 08:00:00+00:00,6.605,6.683,6.533,6.566,384243.51,2025-05-10 08:59:59.999000+00:00,2542236.28564,12609,183646.57,1215505.37429
UNIUSDT,2025-05-10 09:00:00+00:00,6.567,6.695,6.515,6.674,339317.27,2025-05-10 09:59:59.999000+00:00,2247529.72564,11125,171757.87,1137134.36813
UNIUSDT,2025-05-10 10:00:00+00:00,6.675,6.73,6.618,6.618,459939.82,2025-05-10 10:59:59.999000+00:00,3073168.36702,13558,186478.75,1246290.48713
UNIUSDT,2025-05-10 11:00:00+00:00,6.62,6.683,6.537,6.544,415475.33,2025-05-10 11:59:59.999000+00:00,2741039.08979,11444,194685.65,1284307.78062
UNIUSDT,2025-05-10 12:00:00+00:00,6.545,6.667,6.545,6.621,366342.12,2025-05-10 12:59:59.999000+00:00,2422115.97038,9369,209688.01,1385676.62127
UNIUSDT,2025-05-10 13:00:00+00:00,6.622,6.722,6.585,6.702,422781.09,2025-05-10 13:59:59.999000+00:00,2809433.71285,8378,160288.87,1067780.04466
UNIUSDT,2025-05-10 14:00:00+00:00,6.703,6.754,6.65,6.702,400822.45,2025-05-10 14:59:59.999000+00:00,2681531.56218,9900,126130.36,844404.67379
UNIUSDT,2025-05-10 15:00:00+00:00,6.703,6.783,6.643,6.753,469272.21,2025-05-10 15:59:59.999000+00:00,3157922.82367,12573,269554.9,1816071.59621
UNIUSDT,2025-05-10 16:00:00+00:00,6.753,6.919,6.743,6.911,415901.9,2025-05-10 16:59:59.999000+00:00,2844154.874,15107,229036.72,1565973.21039
UNIUSDT,2025-05-10 17:00:00+00:00,6.911,7.045,6.812,6.834,687990.67,2025-05-10 17:59:59.999000+00:00,4775711.21102,22802,357851.48,2486289.01616
UNIUSDT,2025-05-10 18:00:00+00:00,6.834,6.956,6.83,6.925,273043.23,2025-05-10 18:59:59.999000+00:00,1879734.92349,9754,122701.52,845523.50575
UNIUSDT,2025-05-10 19:00:00+00:00,6.925,6.941,6.835,6.871,148020.29,2025-05-10 19:59:59.999000+00:00,1017904.57787,5523,79674.07,547798.07634
UNIUSDT,2025-05-10 20:00:00+00:00,6.87,6.923,6.797,6.878,188757.38,2025-05-10 20:59:59.999000+00:00,1294845.05002,6868,94726.42,649500.00988
UNIUSDT,2025-05-10 21:00:00+00:00,6.878,6.983,6.877,6.96,167309.56,2025-05-10 21:59:59.999000+00:00,1159013.70373,6976,85074.72,589566.69323
UNIUSDT,2025-05-10 22:00:00+00:00,6.961,7.157,6.924,7.129,377567.68,2025-05-10 22:59:59.999000+00:00,2663794.00928,12788,183410.74,1292700.65756
UNIUSDT,2025-05-10 23:00:00+00:00,7.13,7.733,7.105,7.555,2710723.94,2025-05-10 23:59:59.999000+00:00,20044218.35528,63948,1472834.89,10877053.09898
UNIUSDT,2025-05-11 00:00:00+00:00,7.555,7.559,7.2,7.373,1110950.68,2025-05-11 00:59:59.999000+00:00,8175962.9405,38127,494566.13,3642608.25485
UNIUSDT,2025-05-11 01:00:00+00:00,7.374,7.394,7.173,7.23,496933.55,2025-05-11 01:59:59.999000+00:00,3614087.44426,14819,223004.91,1623408.5481
UNIUSDT,2025-05-11 02:00:00+00:00,7.23,7.415,7.176,7.342,408630.07,2025-05-11 02:59:59.999000+00:00,2984949.59047,14275,220450.96,1610626.53348
UNIUSDT,2025-05-11 03:00:00+00:00,7.343,7.423,7.264,7.264,272363.79,2025-05-11 03:59:59.999000+00:00,2002696.17486,8911,130502.05,960154.7829
UNIUSDT,2025-05-11 04:00:00+00:00,7.263,7.32,7.228,7.283,208548.03,2025-05-11 04:59:59.999000+00:00,1517131.96928,8166,105508.23,767732.71697
UNIUSDT,2025-05-11 05:00:00+00:00,7.283,7.296,7.207,7.23,178009.99,2025-05-11 05:59:59.999000+00:00,1289295.00465,6534,86570.44,626933.35774
UNIUSDT,2025-05-11 06:00:00+00:00,7.229,7.237,7.1,7.126,470742.91,2025-05-11 06:59:59.999000+00:00,3373172.07491,11522,185844.83,1333206.61555
UNIUSDT,2025-05-11 07:00:00+00:00,7.127,7.134,6.972,7.04,594792.71,2025-05-11 07:59:59.999000+00:00,4195561.70891,17773,240973.12,1699564.65906
UNIUSDT,2025-05-11 08:00:00+00:00,7.04,7.132,7.004,7.01,284394.01,2025-05-11 08:59:59.999000+00:00,2009563.77682,8328,151412.27,1070576.46364
UNIUSDT,2025-05-11 09:00:00+00:00,7.011,7.122,7.009,7.1,232423.64,2025-05-11 09:59:59.999000+00:00,1644961.73401,6935,151974.3,1075586.80465
UNIUSDT,2025-05-11 10:00:00+00:00,7.099,7.132,7.053,7.103,164788.8,2025-05-11 10:59:59.999000+00:00,1169496.83101,5188,79465.75,564128.87491
UNIUSDT,2025-05-11 11:00:00+00:00,7.1,7.176,7.079,7.091,295291.18,2025-05-11 11:59:59.999000+00:00,2102207.57377,8052,122900.06,875714.3769
UNIUSDT,2025-05-11 12:00:00+00:00,7.091,7.111,7.035,7.057,248997.78,2025-05-11 12:59:59.999000+00:00,1761240.53989,7041,141897.14,1003709.81639
UNIUSDT,2025-05-11 13:00:00+00:00,7.058,7.1,6.721,6.802,1121895.15,2025-05-11 13:59:59.999000+00:00,7711665.50844,25318,519559.09,3566692.23979
UNIUSDT,2025-05-11 14:00:00+00:00,6.803,6.888,6.802,6.857,373838.13,2025-05-11 14:59:59.999000+00:00,2561710.11778,10627,196573.71,1347110.36409
UNIUSDT,2025-05-11 15:00:00+00:00,6.857,6.914,6.745,6.801,296075.87,2025-05-11 15:59:59.999000+00:00,2023385.25106,9362,140489.99,961170.92717
UNIUSDT,2025-05-11 16:00:00+00:00,6.8,6.84,6.716,6.799,395856.24,2025-05-11 16:59:59.999000+00:00,2681755.54734,11508,209563.35,1419552.99473
UNIUSDT,2025-05-11 17:00:00+00:00,6.799,6.905,6.783,6.877,190628.36,2025-05-11 17:59:59.999000+00:00,1307053.15177,6668,83383.53,571409.23857
UNIUSDT,2025-05-11 18:00:00+00:00,6.877,6.951,6.829,6.923,225476.58,2025-05-11 18:59:59.999000+00:00,1556882.90507,6862,131869.65,910406.71694
UNIUSDT,2025-05-11 19:00:00+00:00,6.924,6.958,6.903,6.916,87561.71,2025-05-11 19:59:59.999000+00:00,606916.79462,4134,41484.24,287628.30613
UNIUSDT,2025-05-11 20:00:00+00:00,6.918,6.947,6.88,6.907,115581.34,2025-05-11 20:59:59.999000+00:00,797853.49636,3918,70432.18,486132.3945
UNIUSDT,2025-05-11 21:00:00+00:00,6.906,6.974,6.883,6.955,189745.68,2025-05-11 21:59:59.999000+00:00,1314926.50339,4177,134693.05,933823.84603
UNIUSDT,2025-05-11 22:00:00+00:00,6.955,6.989,6.843,6.9,229964.93,2025-05-11 22:59:59.999000+00:00,1588253.1216,6943,99674.36,688667.57214
UNIUSDT,2025-05-11 23:00:00+00:00,6.902,6.94,6.876,6.929,125327.57,2025-05-11 23:59:59.999000+00:00,866614.6349,4826,60707.1,420055.50975
UNIUSDT,2025-05-12 00:00:00+00:00,6.93,7.005,6.877,6.965,267332.59,2025-05-12 00:59:59.999000+00:00,1856686.09008,9867,143563.51,997298.71027
UNIUSDT,2025-05-12 01:00:00+00:00,6.966,7.056,6.817,6.949,467652.11,2025-05-12 01:59:59.999000+00:00,3249293.99074,13671,246756.03,1716671.93921
UNIUSDT,2025-05-12 02:00:00+00:00,6.95,7.03,6.946,7.029,313787.17,2025-05-12 02:59:59.999000+00:00,2192467.00749,10141,173853.04,1215126.01178
UNIUSDT,2025-05-12 03:00:00+00:00,7.03,7.044,6.971,7.03,138699.37,2025-05-12 03:59:59.999000+00:00,972809.63169,7174,69275.3,486094.95678
UNIUSDT,2025-05-12 04:00:00+00:00,7.028,7.096,6.982,7.078,181800.25,2025-05-12 04:59:59.999000+00:00,1281751.13076,6823,90400.94,637395.03024
UNIUSDT,2025-05-12 05:00:00+00:00,7.079,7.091,6.938,6.981,210657.59,2025-05-12 05:59:59.999000+00:00,1472815.57919,7004,85676.14,598565.16424
UNIUSDT,2025-05-12 06:00:00+00:00,6.983,7.086,6.954,7.074,153510.34,2025-05-12 06:59:59.999000+00:00,1079853.60478,5535,86485.81,608494.83255
UNIUSDT,2025-05-12 07:00:00+00:00,7.074,7.4,7.074,7.138,1454390.79,2025-05-12 07:59:59.999000+00:00,10466515.70189,37683,759555.07,5471823.7932
UNIUSDT,2025-05-12 08:00:00+00:00,7.138,7.199,7.034,7.179,536960.0,2025-05-12 08:59:59.999000+00:00,3828224.34143,15250,269421.98,1921221.96275
UNIUSDT,2025-05-12 09:00:00+00:00,7.18,7.199,7.085,7.096,249802.12,2025-05-12 09:59:59.999000+00:00,1781246.08658,7839,117728.27,839356.28362
