symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
XLMUSDT,2025-05-10 04:00:00+00:00,0.3008,0.3013,0.2982,0.3003,1461615.0,2025-05-10 04:59:59.999000+00:00,438265.2187,5071,795352.0,238498.2784
XLMUSDT,2025-05-10 05:00:00+00:00,0.3003,0.3018,0.2984,0.3017,1643278.0,2025-05-10 05:59:59.999000+00:00,492972.2098,5087,858788.0,257687.9847
XLMUSDT,2025-05-10 06:00:00+00:00,0.3017,0.3032,0.2964,0.3023,7077599.0,2025-05-10 06:59:59.999000+00:00,2128978.065,11820,3332797.0,1003021.4393
XLMUSDT,2025-05-10 07:00:00+00:00,0.3023,0.3029,0.2996,0.3024,2364128.0,2025-05-10 07:59:59.999000+00:00,712487.9405,7317,1382246.0,416669.1049
XLMUSDT,2025-05-10 08:00:00+00:00,0.3025,0.3057,0.3007,0.3029,5844224.0,2025-05-10 08:59:59.999000+00:00,1775014.1732,12095,3317868.0,1007855.9096
XLMUSDT,2025-05-10 09:00:00+00:00,0.3029,0.3053,0.3009,0.3046,2000021.0,2025-05-10 09:59:59.999000+00:00,606511.7551,7293,1176767.0,356906.1788
XLMUSDT,2025-05-10 10:00:00+00:00,0.3047,0.3067,0.3026,0.3026,3065409.0,2025-05-10 10:59:59.999000+00:00,935190.6519,9634,1672629.0,510423.9345
XLMUSDT,2025-05-10 11:00:00+00:00,0.3026,0.304,0.2989,0.2995,3151909.0,2025-05-10 11:59:59.999000+00:00,948269.8133,8738,1435427.0,431735.6148
XLMUSDT,2025-05-10 12:00:00+00:00,0.2995,0.3025,0.2995,0.3022,1742077.0,2025-05-10 12:59:59.999000+00:00,524721.814,5870,925530.0,278962.2179
XLMUSDT,2025-05-10 13:00:00+00:00,0.3023,0.3051,0.3016,0.3045,1516287.0,2025-05-10 13:59:59.999000+00:00,459781.0969,4946,938049.0,284418.1268
XLMUSDT,2025-05-10 14:00:00+00:00,0.3045,0.3063,0.3039,0.306,2866304.0,2025-05-10 14:59:59.999000+00:00,874858.5468,7794,1523747.0,465111.7742
XLMUSDT,2025-05-10 15:00:00+00:00,0.306,0.3062,0.3018,0.3028,2134866.0,2025-05-10 15:59:59.999000+00:00,648773.1248,7956,904199.0,274764.266
XLMUSDT,2025-05-10 16:00:00+00:00,0.3028,0.3065,0.3024,0.3063,4838444.0,2025-05-10 16:59:59.999000+00:00,1476996.7035,9669,2327692.0,710697.011
