symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
XRPUSDT,2025-05-10 04:00:00+00:00,2.3672,2.3673,2.35,2.3656,3541767.0,2025-05-10 04:59:59.999000+00:00,8351824.6323,39244,1253861.7,2957969.9679
XRPUSDT,2025-05-10 05:00:00+00:00,2.3656,2.3733,2.3526,2.3729,3510284.6,2025-05-10 05:59:59.999000+00:00,8293337.67509,40760,1657057.8,3917475.70987
XRPUSDT,2025-05-10 06:00:00+00:00,2.3729,2.3951,2.3727,2.3942,8688761.5,2025-05-10 06:59:59.999000+00:00,20701548.76559,82016,4702935.5,11208492.71187
XRPUSDT,2025-05-10 07:00:00+00:00,2.3942,2.3964,2.3747,2.3897,7321956.3,2025-05-10 07:59:59.999000+00:00,17466487.96702,65951,3307228.8,7891645.46457
XRPUSDT,2025-05-10 08:00:00+00:00,2.3898,2.4045,2.3716,2.3807,8530895.0,2025-05-10 08:59:59.999000+00:00,20399270.30335,81810,3925298.6,9394939.83852
XRPUSDT,2025-05-10 09:00:00+00:00,2.3808,2.395,2.368,2.3898,5565120.8,2025-05-10 09:59:59.999000+00:00,13258294.55242,56093,2438884.6,5811641.80383
XRPUSDT,2025-05-10 10:00:00+00:00,2.3898,2.44,2.3879,2.3919,20441255.6,2025-05-10 10:59:59.999000+00:00,49364630.89192,149952,10238245.8,24738279.04786
XRPUSDT,2025-05-10 11:00:00+00:00,2.3919,2.408,2.3698,2.3799,9559751.7,2025-05-10 11:59:59.999000+00:00,22794198.61314,106680,3990125.1,9517387.21691
XRPUSDT,2025-05-10 12:00:00+00:00,2.3798,2.4041,2.3798,2.3997,5075283.8,2025-05-10 12:59:59.999000+00:00,12156649.90642,55148,2594592.2,6215969.43456
XRPUSDT,2025-05-10 13:00:00+00:00,2.3996,2.414,2.3981,2.4083,5951909.6,2025-05-10 13:59:59.999000+00:00,14331569.14807,54782,3031904.9,7300925.74008
XRPUSDT,2025-05-10 14:00:00+00:00,2.4083,2.4208,2.4014,2.413,6318821.2,2025-05-10 14:59:59.999000+00:00,15232692.30112,58870,2682069.6,6466323.05623
XRPUSDT,2025-05-10 15:00:00+00:00,2.413,2.4147,2.3911,2.3973,5929492.0,2025-05-10 15:59:59.999000+00:00,14238347.91625,62654,2229925.5,5356205.57191
XRPUSDT,2025-05-10 16:00:00+00:00,2.3974,2.4248,2.3946,2.4218,7661575.8,2025-05-10 16:59:59.999000+00:00,18496214.70067,75932,3897105.9,9412807.27748
XRPUSDT,2025-05-10 17:00:00+00:00,2.4218,2.4496,2.4127,2.4204,17938881.2,2025-05-10 17:59:59.999000+00:00,43668428.94016,154530,8164229.2,19881066.02578
XRPUSDT,2025-05-10 18:00:00+00:00,2.4203,2.4408,2.4102,2.4245,6171617.5,2025-05-10 18:59:59.999000+00:00,14965607.1774,68331,2478523.0,6010187.15044
XRPUSDT,2025-05-10 19:00:00+00:00,2.4244,2.428,2.4091,2.4196,3097638.0,2025-05-10 19:59:59.999000+00:00,7489718.37659,41769,1292557.0,3125147.74466
XRPUSDT,2025-05-10 20:00:00+00:00,2.4197,2.4246,2.4042,2.4239,3548138.4,2025-05-10 20:59:59.999000+00:00,8559539.3191,45457,1473339.7,3554535.47398
XRPUSDT,2025-05-10 21:00:00+00:00,2.424,2.443,2.418,2.4392,4883305.9,2025-05-10 21:59:59.999000+00:00,11860361.35515,48757,2415822.6,5868927.40292
XRPUSDT,2025-05-10 22:00:00+00:00,2.4392,2.4497,2.4279,2.4487,5854283.9,2025-05-10 22:59:59.999000+00:00,14283773.26743,66983,2805511.7,6846039.40952
XRPUSDT,2025-05-10 23:00:00+00:00,2.4487,2.477,2.4457,2.4711,13393945.8,2025-05-10 23:59:59.999000+00:00,32976148.01082,126072,8075702.9,19881578.7174
XRPUSDT,2025-05-11 00:00:00+00:00,2.4711,2.4844,2.4018,2.4269,23416751.7,2025-05-11 00:59:59.999000+00:00,57084894.84647,207746,11022461.1,26871492.09881
XRPUSDT,2025-05-11 01:00:00+00:00,2.4269,2.4406,2.3949,2.4067,10465105.1,2025-05-11 01:59:59.999000+00:00,25301129.04301,99676,4168024.8,10083906.46155
XRPUSDT,2025-05-11 02:00:00+00:00,2.4066,2.4201,2.3829,2.3947,9625477.6,2025-05-11 02:59:59.999000+00:00,23114649.05131,115671,4497201.7,10802612.32293
XRPUSDT,2025-05-11 03:00:00+00:00,2.3946,2.4129,2.3834,2.4022,5488245.2,2025-05-11 03:59:59.999000+00:00,13180507.49663,68315,2683961.1,6447612.22021
XRPUSDT,2025-05-11 04:00:00+00:00,2.4023,2.4176,2.4013,2.4175,5028052.9,2025-05-11 04:59:59.999000+00:00,12123656.56865,52015,2735107.1,6596178.67863
XRPUSDT,2025-05-11 05:00:00+00:00,2.4175,2.418,2.4041,2.405,2969283.8,2025-05-11 05:59:59.999000+00:00,7160869.88937,38366,1110724.3,2678712.55185
XRPUSDT,2025-05-11 06:00:00+00:00,2.405,2.4055,2.3718,2.3861,9187436.9,2025-05-11 06:59:59.999000+00:00,21941308.04461,79604,3791460.3,9051132.26901
XRPUSDT,2025-05-11 07:00:00+00:00,2.386,2.386,2.3416,2.3549,13974329.1,2025-05-11 07:59:59.999000+00:00,33001190.48438,148543,5704657.7,13472991.47061
XRPUSDT,2025-05-11 08:00:00+00:00,2.3549,2.3718,2.3487,2.3562,5943324.6,2025-05-11 08:59:59.999000+00:00,14028655.89627,69323,3208041.8,7571409.53783
XRPUSDT,2025-05-11 09:00:00+00:00,2.3563,2.3768,2.3519,2.3715,4592053.7,2025-05-11 09:59:59.999000+00:00,10878419.29036,42419,2607437.5,6176887.7668
XRPUSDT,2025-05-11 10:00:00+00:00,2.3715,2.3779,2.3628,2.376,4076317.3,2025-05-11 10:59:59.999000+00:00,9667994.38974,39243,1804428.9,4279612.88181
XRPUSDT,2025-05-11 11:00:00+00:00,2.3761,2.3873,2.3697,2.3863,6857503.6,2025-05-11 11:59:59.999000+00:00,16299005.36665,42718,3914555.6,9304283.20854
XRPUSDT,2025-05-11 12:00:00+00:00,2.3864,2.3892,2.3722,2.378,5035369.3,2025-05-11 12:59:59.999000+00:00,11986317.71277,44230,2361646.5,5622939.12934
XRPUSDT,2025-05-11 13:00:00+00:00,2.378,2.3884,2.3455,2.3467,8367165.9,2025-05-11 13:59:59.999000+00:00,19793080.01018,81029,3383451.8,8006870.55267
XRPUSDT,2025-05-11 14:00:00+00:00,2.3467,2.3667,2.3456,2.3603,4306896.4,2025-05-11 14:59:59.999000+00:00,10152901.10759,58536,2318107.2,5464479.2131
XRPUSDT,2025-05-11 15:00:00+00:00,2.3603,2.3741,2.3315,2.3473,8128567.1,2025-05-11 15:59:59.999000+00:00,19122788.08625,70436,3372835.2,7937961.61928
XRPUSDT,2025-05-11 16:00:00+00:00,2.3473,2.3563,2.3283,2.3483,8943766.0,2025-05-11 16:59:59.999000+00:00,20935905.82306,97228,4479765.3,10486650.5075
XRPUSDT,2025-05-11 17:00:00+00:00,2.3484,2.369,2.3411,2.3675,6234370.4,2025-05-11 17:59:59.999000+00:00,14700106.56257,61731,3307829.1,7802904.94687
XRPUSDT,2025-05-11 18:00:00+00:00,2.3676,2.3811,2.3534,2.3745,3788917.6,2025-05-11 18:59:59.999000+00:00,8979266.2108,51869,1946317.0,4613810.48514
XRPUSDT,2025-05-11 19:00:00+00:00,2.3746,2.3841,2.3703,2.3715,3839477.9,2025-05-11 19:59:59.999000+00:00,9124914.9119,40840,2064976.0,4908083.13157
XRPUSDT,2025-05-11 20:00:00+00:00,2.3716,2.379,2.3623,2.3708,3256028.7,2025-05-11 20:59:59.999000+00:00,7717702.50061,41175,1756354.3,4163105.30063
XRPUSDT,2025-05-11 21:00:00+00:00,2.3707,2.3726,2.3603,2.3709,2541107.0,2025-05-11 21:59:59.999000+00:00,6013577.34477,25130,1212214.5,2868924.25078
XRPUSDT,2025-05-11 22:00:00+00:00,2.3709,2.3802,2.356,2.3668,3694622.6,2025-05-11 22:59:59.999000+00:00,8743609.54336,53326,1673499.0,3961393.87937
XRPUSDT,2025-05-11 23:00:00+00:00,2.3668,2.375,2.3622,2.367,2822309.1,2025-05-11 23:59:59.999000+00:00,6685584.98917,32157,1419560.1,3363564.89945
XRPUSDT,2025-05-12 00:00:00+00:00,2.3671,2.396,2.3635,2.3958,8612226.0,2025-05-12 00:59:59.999000+00:00,20517442.02729,77044,4848416.4,11556383.10366
XRPUSDT,2025-05-12 01:00:00+00:00,2.3957,2.4082,2.3515,2.3731,11838252.5,2025-05-12 01:59:59.999000+00:00,28229213.47492,88452,5345061.3,12740766.34148
XRPUSDT,2025-05-12 02:00:00+00:00,2.3732,2.3998,2.3729,2.3931,9126344.3,2025-05-12 02:59:59.999000+00:00,21810893.22518,88574,5168848.2,12354600.58972
XRPUSDT,2025-05-12 03:00:00+00:00,2.3931,2.403,2.3787,2.3961,7305974.8,2025-05-12 03:59:59.999000+00:00,17477624.89642,57326,4059851.7,9713930.35544
XRPUSDT,2025-05-12 04:00:00+00:00,2.3961,2.415,2.3902,2.4018,9639600.1,2025-05-12 04:59:59.999000+00:00,23158912.75363,79760,4900218.0,11773780.28265
XRPUSDT,2025-05-12 05:00:00+00:00,2.4019,2.4056,2.3745,2.3871,6872155.2,2025-05-12 05:59:59.999000+00:00,16420129.61466,58446,2993457.3,7155540.4836
XRPUSDT,2025-05-12 06:00:00+00:00,2.3872,2.4034,2.3807,2.3977,9248582.7,2025-05-12 06:59:59.999000+00:00,22165155.24255,56045,4987936.2,11955662.75671
XRPUSDT,2025-05-12 07:00:00+00:00,2.3977,2.455,2.3914,2.4136,37661966.9,2025-05-12 07:59:59.999000+00:00,91345295.52183,268400,19929055.7,48355039.61588
XRPUSDT,2025-05-12 08:00:00+00:00,2.4136,2.4296,2.3911,2.4245,14348028.8,2025-05-12 08:59:59.999000+00:00,34603143.13246,114790,6949286.7,16762903.17569
XRPUSDT,2025-05-12 09:00:00+00:00,2.4245,2.433,2.4171,2.4207,8570534.3,2025-05-12 09:59:59.999000+00:00,20802568.24968,90067,4303429.1,10445806.58046
XRPUSDT,2025-05-12 10:00:00+00:00,2.4207,2.4357,2.4122,2.4346,9155392.5,2025-05-12 10:59:59.999000+00:00,22192209.35745,91736,4648927.8,11270526.52301
XRPUSDT,2025-05-12 11:00:00+00:00,2.4345,2.4849,2.4304,2.449,32554788.1,2025-05-12 11:59:59.999000+00:00,80066352.87453,260044,16339582.3,40208991.58283
